source,text,date,compound,positive,neutral,negative,tweets ago
BBC," An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
… ",2018-07-29 08:01:07+00:00,-0.9052,0.11,0.419,0.472,41
BBC,"Two tiger brothers enjoy their first swimming lesson.  #InternationalTigerDay

",2018-07-29 07:01:03+00:00,0.4939,0.262,0.738,0.0,42
BBC,"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… ",2018-07-28 20:45:06+00:00,0.3612,0.143,0.857,0.0,43
BBC,"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",2018-07-28 20:29:40+00:00,0.6361,0.173,0.827,0.0,44
BBC,The shocking story of a young man who shot his parents. ,2018-07-28 20:02:03+00:00,-0.4019,0.0,0.769,0.231,45
BBC,RT @BBCTwo: Ever wondered how toilets are made? We're going #InsideTheFactory...  ,2018-07-28 18:12:24+00:00,0.0,0.0,1.0,0.0,46
BBC, Genius ,2018-07-28 18:07:05+00:00,0.4404,0.392,0.412,0.196,47
BBC,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.'
#TheFiveBillionPoundSuperSewer ",2018-07-28 17:03:00+00:00,-0.0191,0.0,0.918,0.082,48
BBC,"Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls ",2018-07-28 16:03:06+00:00,0.3182,0.247,0.753,0.0,49
BBC,"RT @bbcideas: Gin and tonic, the perfect pair. So, how did they come together? 🤔

More Edible Histories : ",2018-07-28 15:31:04+00:00,0.5719,0.163,0.837,0.0,50
BBC,"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",2018-07-28 15:30:28+00:00,0.5859,0.132,0.868,0.0,51
BBC,"Branded and beaten: The children accused of witchcraft and murder.
 ",2018-07-28 15:04:06+00:00,-0.8658,0.0,0.531,0.469,52
BBC,❤️ Heaven really is a place on Earth... ,2018-07-28 14:06:01+00:00,0.5106,0.355,0.645,0.0,53
BBC,🥪 A brief history of the humble sarnie. ,2018-07-28 13:02:06+00:00,0.0,0.0,1.0,0.0,54
BBC,"RT @bbcgetinspired: ""You can rise again, it's not as though one thing happens to you and that's the end of your story."" 

After being hit b…",2018-07-28 12:02:40+00:00,0.0,0.0,1.0,0.0,55
BBC,RT @BBCScienceNews: Climate change made heatwave 'twice as likely' ,2018-07-28 12:02:08+00:00,0.0,0.0,1.0,0.0,56
BBC,"🧠 'Damaging your brain might not kill you, but can change your behaviour.'

Five fascinating facts about the human… ",2018-07-28 11:03:04+00:00,0.7157,0.282,0.633,0.085,57
BBC,"RT @BBCWorld: Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world

",2018-07-28 10:46:22+00:00,0.4389,0.153,0.847,0.0,58
BBC,Need to clean your headphone socket? Check out this #TechHack. ,2018-07-28 10:05:04+00:00,0.4019,0.231,0.769,0.0,59
BBC," With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… ",2018-07-28 09:03:03+00:00,0.6369,0.208,0.792,0.0,60
BBC, Namastay in bed! ,2018-07-28 08:02:06+00:00,0.0,0.0,1.0,0.0,61
BBC, Hearing dogs can save a life. ,2018-07-28 07:05:02+00:00,0.4939,0.348,0.652,0.0,62
BBC,A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… ,2018-07-27 18:01:08+00:00,0.6908,0.271,0.729,0.0,63
BBC,RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: ,2018-07-27 17:47:28+00:00,0.4404,0.182,0.818,0.0,64
BBC, Too soon? ,2018-07-27 17:02:03+00:00,0.0,0.0,1.0,0.0,65
BBC,When your boss is looking for you but it's after 5pm...  #FridayFeeling ,2018-07-27 15:59:00+00:00,0.6486,0.249,0.751,0.0,66
BBC," Who's excited to see the #BloodMoon tonight? 
#LunarEclipse ",2018-07-27 15:16:01+00:00,0.34,0.231,0.769,0.0,67
BBC," How teenage perfumes smell to you - an actual adult.
 ",2018-07-27 13:01:03+00:00,0.0,0.0,1.0,0.0,68
